Barnet,Theft and Handling,Theft From M/V,64,73,88,79,53,30,47,44,40,53,38,68,56,41,79,56,58,81,60,63,65,62,68,54
Barnet,Theft and Handling,Theft From Shops,113,111,132,105,135,100,96,112,117,130,139,125,133,124,106,108,119,82,89,139,113,103,106,126
Barnet,Theft and Handling,Theft Person,44,23,30,26,30,13,17,22,31,32,56,31,35,35,38,38,50,48,39,60,40,50,37,52
Barnet,Theft and Handling,Theft/Taking of M/V,20,28,26,25,19,11,18,16,17,15,13,12,14,14,19,17,15,20,20,16,27,21,13,28
Barnet,Theft and Handling,Theft/Taking of Pedal Cycles,11,11,10,14,7,10,6,9,8,5,12,8,6,12,14,7,4,5,4,13,14,15,3,8
Barnet,Violence Against the Person,Assault with Injury,32,29,29,47,23,15,23,46,37,53,40,45,29,39,54,39,34,32,31,37,33,61,43,47
Barnet,Violence Against the Person,Common Assault,49,63,64,51,68,31,41,53,43,61,68,55,58,55,62,60,66,52,44,71,58,86,56,48
Barnet,Violence Against the Person,Harassment,80,87,69,96,89,70,49,88,93,110,106,78,66,90,69,97,92,77,68,73,83,73,71,91
Barnet,Violence Against the Person,Murder,0,0,0,0,0,0,0,,,1,2,,,,,,,,1,,,,,
Barnet,Violence Against the Person,Offensive Weapon,5,4,4,6,4,1,4,4,5,5,6,2,5,7,7,2,6,5,4,3,6,7,5,2
Barnet,Violence Against the Person,Other Violence,4,8,6,4,8,2,8,7,9,6,9,4,9,9,9,8,6,3,6,7,7,7,8,14
Barnet,Violence Against the Person,Wounding/GBH,11,16,16,8,5,6,14,15,5,19,9,13,14,15,25,21,17,13,17,15,13,14,11,11
Bexley,Burglary,Burglary - Business and Community,15,18,19,21,10,12,21,15,10,13,19,21,15,27,10,24,15,5,15,13,14,15,23,10
Bexley,Burglary,Burglary - Residential,3,1,2,2,1,1,1,1,2,3,2,2,1,5,1,3,3,1,,6,2,3,1,2
Bexley,Criminal Damage,Arson,5,3,3,1,2,0,0,1,2,3,1,1,1,1,3,2,,,,2,2,2,,
Bexley,Criminal Damage,Criminal Damage To M/V,11,10,11,6,8,2,13,8,10,9,9,9,15,5,8,4,9,6,7,7,7,8,5,4
Bexley,Criminal Damage,Criminal Damage To Other Bldg,6,5,5,8,4,5,3,6,6,7,4,5,9,3,9,7,7,3,10,12,4,3,20,4
Bexley,Criminal Damage,Criminal Damage To a Dwelling,5,1,2,4,1,2,4,4,1,3,3,2,4,1,2,5,4,3,4,2,3,1,5,1
Bexley,Criminal Damage,Other Criminal Damage,16,21,24,11,13,14,10,17,18,23,15,25,21,15,31,18,14,25,16,19,12,21,11,14
Bexley,Drugs,Drug Trafficking,0,0,11,1,2,0,0,,,,,2,,,1,1,4,2,1,,,,,2
Bexley,Drugs,Possession Of Drugs,13,4,12,22,19,15,24,22,16,23,23,26,23,17,28,21,22,17,14,21,10,21,18,20
Bexley,Fraud or Forgery,Other Fraud & Forgery,1,0,1,1,0,0,1,2,1,,1,,,2,3,1,2,1,,,,,,3
Bexley,Other Notifiable Offences,Going Equipped,0,0,1,0,0,1,0,,,,,,,,,1,,,,,,,,
Bexley,Other Notifiable Offences,Other Notifiable,9,4,4,6,4,8,6,5,8,2,7,4,7,2,9,5,5,6,10,8,3,9,9,5
Bexley,Robbery,Business Property,5,3,3,1,2,3,4,6,4,2,2,2,3,4,2,1,4,4,3,4,3,8,1,1
Bexley,Robbery,Personal Property,4,8,2,7,5,5,3,2,3,4,,7,6,5,2,3,6,4,9,6,4,3,3,10
Bexley,Sexual Offences,Other Sexual,5,3,5,3,5,1,3,7,2,7,7,8,2,13,9,8,10,7,8,7,4,12,13,8
Bexley,Sexual Offences,Rape,1,0,2,3,0,0,3,,1,1,4,1,1,,3,1,2,2,2,,1,4,2,3
Bexley,Theft and Handling,Handling Stolen Goods,1,0,1,1,0,2,0,,,,,,,,,3,,,,,,1,,1
Bexley,Theft and Handling,M/V Interference & Tampering,12,6,5,8,1,2,3,4,2,2,2,3,1,2,5,3,2,4,7,4,1,6,3,6
Bexley,Theft and Handling,Other Theft,62,54,57,41,54,39,24,34,44,46,61,56,65,78,62,73,67,79,82,90,83,71,53,59
Bexley,Theft and Handling,Theft From M/V,24,26,40,24,11,14,9,15,9,11,13,15,23,11,15,20,9,22,13,15,16,9,17,27
Bexley,Theft and Handling,Theft From Shops,71,56,74,54,53,38,61,70,43,44,48,49,68,53,64,69,61,78,66,59,63,47,51,59
Bexley,Theft and Handling,Theft Person,6,3,2,7,4,2,3,6,5,5,4,6,14,13,6,23,13,10,7,18,10,11,18,15
Bexley,Theft and Handling,Theft/Taking of M/V,14,12,10,8,8,12,9,5,6,10,14,6,10,7,16,17,17,8,11,11,7,15,11,12
