country_code,short_name,table_name,long_name,2_alpha_code,currency_unit,special_notes,region,income_group,wb_2_code,national_accounts_base_year,national_accounts_reference_year,sna_price_valuation,lending_category,other_groups,system_of_national_accounts,alternative_conversion_factor,ppp_survey_year,balance_of_payments_manual_in_use,external_debt_reporting_status,system_of_trade,government_accounting_concept,imf_data_dissemination_standard,latest_population_census,latest_household_survey,source_of_most_recent_income_and_expenditure_data,vital_registration_complete,latest_agricultural_census,latest_industrial_data,latest_trade_data,latest_water_withdrawal_data
CHL,,Chile,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CHL_Antofagasta_CL.AN_883_CHL001,,"Chile, Antofagasta",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CHL_Araucania_CL.AR_884_CHL002,,"Chile, Araucania",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CHL_Arica_12974,,"Chile, Arica",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CHL_Atacama_CL.AT_885_CHL003,,"Chile, Atacama",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CHL_Aysen_Del_Gen.d.c_CL.AY_886_CHL004,,"Chile, Aysen Del Gen.d.c.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CHL_Bio_Bio_CL.BO_887_CHL005,,"Chile, Bio Bio",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CHL_Coquimbo_CL.CO_888_CHL006,,"Chile, Coquimbo",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CHL_Libertador_Bernardo_O_Higgins_CL.CL_889_CHL007,,"Chile, Libertador General Bernardo OHiggins",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CHL_Los_Lagos_CL.LL_890_CHL008,,"Chile, Los Lagos",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CHL_Los_Rios_CL.LR_896_5_CHL015,,"Chile, Los Rios",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CHL_Magallanes_CL.MA_891_CHL009,,"Chile, Magallanes",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CHL_Maule_CL.MU_892_CHL010,,"Chile, Maule",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CHL_Metropolitana_CL.ME_893_CHL011,,"Chile, Metropolitana",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CHL_Tarapaca_CL.TA_895_CHL013,,"Chile, Tarapaca",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CHL_Valparaiso_CL.VA_896_CHL014,,"Chile, Valparaiso",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL,,Colombia,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Antioquia_CO.AN_936_COL002,,"Colombia, Antioquia",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Atlantico_CO.AT_938_COL004,,"Colombia, Atlantico",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Bogota_CO.BG_13922.1_COL034,,"Colombia, Bogota",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Bolivar_CO.BO_939_COL005,,"Colombia, Bolivar",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Boyaca_CO.BY_940_COL006,,"Colombia, Boyaca",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Caldas_CO.CL_942_COL008,,"Colombia, Caldas",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Caqueta_CO.CQ_943_COL009,,"Colombia, Caqueta",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Cauca_CO.CA_945_COL011,,"Colombia, Cauca",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Cesar_CO.CE_946_COL012,,"Colombia, Cesar",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Choco_CO.CH_947_COL013,,"Colombia, Choco",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Cordoba_CO.CR_948_COL014,,"Colombia, Cordoba",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Cundinamarca_CO.CU_949_COL015,,"Colombia, Cundinamarca",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Guajira_CO.GU_951_COL017,,"Colombia, Guajira",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Huila_CO.HU_953_COL019,,"Colombia, Huila",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Magdalena_CO.MA_954_COL020,,"Colombia, Magdalena",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Meta_CO.ME_955_COL021,,"Colombia, Meta",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Narino_CO.NA_956_COL022,,"Colombia, NariNo",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Norte_De_Santander_CO.NS_957_COL023,,"Colombia, Norte De Santander",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Quindio_CO.QU_959_COL025,,"Colombia, Quindio",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Risaralda_CO.RI_960_COL026,,"Colombia, Risaralda",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Sucre_CO.SU_963_COL029,,"Colombia, Sucre",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Tolima_CO.TO_964_COL030,,"Colombia, Tolima",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
COL_Valle_Del_Cauca_CO.VC_965_COL031,,"Colombia, Valle del Cauca",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ZAR,,"Congo, Dem. Rep.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ZAR_Bandundu_ZR.BN_1066_ZAR001,,"Congo, Dem. Rep., Bandundu",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ZAR_Bas-Congo_ZR.BC_1067_ZAR002,,"Congo, Dem. Rep., Bas-Congo",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ZAR_Equateur_ZR.EQ_1068_ZAR003,,"Congo, Dem. Rep., Equateur",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ZAR_Kasai-Occidental_ZR.KO_1069_ZAR004,,"Congo, Dem. Rep., Kasai-Occidental",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ZAR_Kasai-Oriental_ZR.KA_1070_ZAR005,,"Congo, Dem. Rep., Kasai-Oriental",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ZAR_Katanga_ZR.KT_1071_ZAR006,,"Congo, Dem. Rep., Katanga",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ZAR_Kinshasa_ZR.KN_1072_ZAR007,,"Congo, Dem. Rep., Kinshasa",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ZAR_Maniema_ZR.MA_1073_ZAR008,,"Congo, Dem. Rep., Maniema",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
