web-scraper-order,web-scraper-start-url,paginas,producto,producto-href,nombreproducto,precioproducto,unidadesproducto,ubicacionproduto
"1661799943-79","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_NoIndex_True","Tractomula De Colección A Escala Transformers Optimus Prime","https://articulo.mercadolibre.com.co/MCO-865743967-tractomula-de-coleccion-a-escala-transformers-optimus-prime-_JM?searchVariation=174265784412#searchVariation=174265784412&position=41&search_layout=stack&type=item&tracking_id=669f027a-e2f1-4664-91e6-204fafc9786e","Tractomula De Colección A Escala Transformers Optimus Prime","39.900","null","Bosa, Bogotá D.C."
"1661799764-12","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_Desde_51_NoIndex_True","Coke On Ice Long Hauler - Tractomula Coca Cola Escala 1:64","https://articulo.mercadolibre.com.co/MCO-546309912-coke-on-ice-long-hauler-tractomula-coca-cola-escala-164-_JM?searchVariation=48163133661#searchVariation=48163133661&position=40&search_layout=stack&type=item&tracking_id=8b1b08f0-24a5-4f8d-8281-67441822129c","Coke On Ice Long Hauler - Tractomula Coca Cola Escala 1:64","140.000","(21 disponibles)","Santa Fe, Bogotá D.C."
"1661799884-57","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_Desde_101_NoIndex_True","Camion Tractomula Kenworth Escala 7cm Coleccion Matchbox","https://articulo.mercadolibre.com.co/MCO-801729336-camion-tractomula-kenworth-escala-7cm-coleccion-matchbox-_JM?searchVariation=173561613771#searchVariation=173561613771&position=13&search_layout=stack&type=item&tracking_id=2ef21afa-6ec8-4663-a454-c4e8c9a9623e","Camion Tractomula Kenworth Escala 7cm Coleccion Matchbox","79.900","null","Cali, Valle Del Cauca"
"1661799831-37","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_Desde_51_NoIndex_True","Cabezote Tractomula Tractocamion Camion Escala 12cm Largo","https://articulo.mercadolibre.com.co/MCO-848214038-cabezote-tractomula-tractocamion-camion-escala-12cm-largo-_JM?searchVariation=174075972317#searchVariation=174075972317&position=15&search_layout=stack&type=item&tracking_id=8b1b08f0-24a5-4f8d-8281-67441822129c","Cabezote Tractomula Tractocamion Camion Escala 12cm Largo","85.900","null","Cali, Valle Del Cauca"
"1661800020-108","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_NoIndex_True","Tractomula Camión De Colección A Escala Mula Contenedor","https://articulo.mercadolibre.com.co/MCO-910271934-tractomula-camion-de-coleccion-a-escala-mula-contenedor-_JM?searchVariation=174659605864#searchVariation=174659605864&position=12&search_layout=stack&type=item&tracking_id=669f027a-e2f1-4664-91e6-204fafc9786e","Tractomula Camión De Colección A Escala Mula Contenedor","109.900","null","Bosa, Bogotá D.C."
"1661800029-111","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_NoIndex_True","Tractomula De Colección A Escala Transformers Optimus Prime","https://articulo.mercadolibre.com.co/MCO-865785876-tractomula-de-coleccion-a-escala-transformers-optimus-prime-_JM?searchVariation=174265675697#searchVariation=174265675697&position=9&search_layout=stack&type=item&tracking_id=669f027a-e2f1-4664-91e6-204fafc9786e","Tractomula De Colección A Escala Transformers Optimus Prime","39.900","null","Bosa, Bogotá D.C."
"1661799815-31","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_Desde_51_NoIndex_True","Tractomula Peterbilt 579 Con Camarote Mural Cat Esc 1:50","https://articulo.mercadolibre.com.co/MCO-835744274-tractomula-peterbilt-579-con-camarote-mural-cat-esc-150-_JM?searchVariation=173944335960#searchVariation=173944335960&position=21&search_layout=stack&type=item&tracking_id=8b1b08f0-24a5-4f8d-8281-67441822129c","Tractomula Peterbilt 579 Con Camarote Mural Cat Esc 1:50","582.000","(2 disponibles)","Teusaquillo, Bogotá D.C."
"1661800130-149","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","","Mula Camión  Tractomula Niñera De Colección A Escala 1 /50","https://articulo.mercadolibre.com.co/MCO-568030675-mula-camion-tractomula-ninera-de-coleccion-a-escala-1-50-_JM?searchVariation=173590225032#searchVariation=173590225032&position=20&search_layout=stack&type=item&tracking_id=ac2563ff-7ff4-40f7-8a21-654ffb87d2d9","Mula Camión  Tractomula Niñera De Colección A Escala 1 /50","159.900","null","Bosa, Bogotá D.C."
"1661799850-45","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_Desde_51_NoIndex_True","Juguete Mula Tractomula Formula Uno Didactico + Accesorios","https://articulo.mercadolibre.com.co/MCO-594735680-juguete-mula-tractomula-formula-uno-didactico-accesorios-_JM?searchVariation=68182552311#searchVariation=68182552311&position=7&search_layout=stack&type=item&tracking_id=8b1b08f0-24a5-4f8d-8281-67441822129c","Juguete Mula Tractomula Formula Uno Didactico + Accesorios","109.990","(3 disponibles)","Rafael Uribe Uribe, Bogotá D.C."
"1661800125-147","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","","Tractomula De Colección A Escala 1/87 Iveco Ducati Mula","https://articulo.mercadolibre.com.co/MCO-815543039-tractomula-de-coleccion-a-escala-187-iveco-ducati-mula-_JM?searchVariation=173743930680#searchVariation=173743930680&position=22&search_layout=stack&type=item&tracking_id=ac2563ff-7ff4-40f7-8a21-654ffb87d2d9","Tractomula De Colección A Escala 1/87 Iveco Ducati Mula","29.900","null","Bosa, Bogotá D.C."
"1661799840-41","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_Desde_51_NoIndex_True","Juguete Super Camión Transportador De Autos 42cm + 2 Autos","https://articulo.mercadolibre.com.co/MCO-592036094-juguete-super-camion-transportador-de-autos-42cm-2-autos-_JM?searchVariation=66900805702#searchVariation=66900805702&position=11&search_layout=stack&type=item&tracking_id=8b1b08f0-24a5-4f8d-8281-67441822129c","Juguete Super Camión Transportador De Autos 42cm + 2 Autos","38.990","(2 disponibles)","Suba, Bogotá D.C."
"1661799756-9","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_Desde_51_NoIndex_True","Tractomula Doble Contenedor Volvo Majorette 20 Cm","https://articulo.mercadolibre.com.co/MCO-868384411-tractomula-doble-contenedor-volvo-majorette-20-cm-_JM?searchVariation=174288309706#searchVariation=174288309706&position=42&search_layout=stack&type=item&tracking_id=8b1b08f0-24a5-4f8d-8281-67441822129c","Tractomula Doble Contenedor Volvo Majorette 20 Cm","38.000","null","Engativá, Bogotá D.C."
"1661799927-73","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_NoIndex_True","Tractomula Iveco Ducati De Colección A Escala 1/87 Motoro Gp","https://articulo.mercadolibre.com.co/MCO-815544332-tractomula-iveco-ducati-de-coleccion-a-escala-187-motoro-gp-_JM?searchVariation=173743874998#searchVariation=173743874998&position=47&search_layout=stack&type=item&tracking_id=669f027a-e2f1-4664-91e6-204fafc9786e","Tractomula Iveco Ducati De Colección A Escala 1/87 Motoro Gp","29.900","null","Bosa, Bogotá D.C."
"1661799908-67","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_Desde_101_NoIndex_True","Tractomula Camión De Colección A Escala Kenworth W900","https://articulo.mercadolibre.com.co/MCO-924246241-tractomula-camion-de-coleccion-a-escala-kenworth-w900-_JM?searchVariation=174803751773#searchVariation=174803751773&position=3&search_layout=stack&type=item&tracking_id=2ef21afa-6ec8-4663-a454-c4e8c9a9623e","Tractomula Camión De Colección A Escala Kenworth W900","149.900","null","Bosa, Bogotá D.C."
"1661799933-75","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_NoIndex_True","Tractomula Camión Cisterna De Colección A Escala Mula","https://articulo.mercadolibre.com.co/MCO-909975094-tractomula-camion-cisterna-de-coleccion-a-escala-mula-_JM?searchVariation=174658669965#searchVariation=174658669965&position=45&search_layout=stack&type=item&tracking_id=669f027a-e2f1-4664-91e6-204fafc9786e","Tractomula Camión Cisterna De Colección A Escala Mula","149.900","null","Bosa, Bogotá D.C."
"1661800142-154","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","","Majorette, Tractomula Volvo, Doble Contenedor, Escala 1/72,","https://articulo.mercadolibre.com.co/MCO-859167103-majorette-tractomula-volvo-doble-contenedor-escala-172-_JM?searchVariation=174221270226#searchVariation=174221270226&position=15&search_layout=stack&type=item&tracking_id=ac2563ff-7ff4-40f7-8a21-654ffb87d2d9","Majorette, Tractomula Volvo, Doble Contenedor, Escala 1/72,","43.700","null","Engativá, Bogotá D.C."
"1661799910-68","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_Desde_101_NoIndex_True","Tractomula Camión De Colección A Escala 1/68 Kenworth T700","https://articulo.mercadolibre.com.co/MCO-868637302-tractomula-camion-de-coleccion-a-escala-168-kenworth-t700-_JM?searchVariation=174289321944#searchVariation=174289321944&position=2&search_layout=stack&type=item&tracking_id=2ef21afa-6ec8-4663-a454-c4e8c9a9623e","Tractomula Camión De Colección A Escala 1/68 Kenworth T700","59.900","null","Bosa, Bogotá D.C."
