web-scraper-order,web-scraper-start-url,paginas_busqueda,ProductoKatana,ProductoKatana-href,nombre_producto,precio_producto,inventario_producto,origen_producto
"1661798171-98","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Katana Kimetsu No Yaiba Demon Slayer Espada Metálica","https://articulo.mercadolibre.com.co/MCO-881377904-katana-kimetsu-no-yaiba-demon-slayer-espada-metalica-_JM#position=22&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Katana Kimetsu No Yaiba Demon Slayer Espada Metálica","65.000","Cantidad:1 unidad(5 disponibles)","Puente Aranda, Bogotá D.C."
"1661798125-75","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Espada Ninja Ninjato Katana Solo Decoracion Y Lujo Cerbatana","https://articulo.mercadolibre.com.co/MCO-932031737-espada-ninja-ninjato-katana-solo-decoracion-y-lujo-cerbatana-_JM#position=45&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Espada Ninja Ninjato Katana Solo Decoracion Y Lujo Cerbatana","337.900","null","Fontibón, Bogotá D.C."
"1661798084-56","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_101_NoIndex_True","Espada Katana Doble Filo Espiga Completa Hoja Acero Carbono","https://articulo.mercadolibre.com.co/MCO-918652251-espada-katana-doble-filo-espiga-completa-hoja-acero-carbono-_JM#position=14&search_layout=stack&type=item&tracking_id=dca914cd-0fb2-4744-b5d2-a520d28be608","Espada Katana Doble Filo Espiga Completa Hoja Acero Carbono","1.361.510","Cantidad:1 unidad(10 disponibles)","Chapinero, Bogotá D.C."
"1661798150-88","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Base Espadas X1 - Mesa - Katana Kake, Soporte, Exhibidor","https://articulo.mercadolibre.com.co/MCO-600308162-base-espadas-x1-mesa-katana-kake-soporte-exhibidor-_JM#position=32&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Base Espadas X1 - Mesa - Katana Kake, Soporte, Exhibidor","47.500","null","Bucaramanga, Santander"
"1661798077-53","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_101_NoIndex_True","Espada Wakizashi De Combate De Ronin Con Vaina Moldeada Por","https://articulo.mercadolibre.com.co/MCO-843369259-espada-wakizashi-de-combate-de-ronin-con-vaina-moldeada-por-_JM#position=17&search_layout=stack&type=item&tracking_id=dca914cd-0fb2-4744-b5d2-a520d28be608","Espada Wakizashi De Combate De Ronin Con Vaina Moldeada Por","378.900","Cantidad:1 unidad(10 disponibles)","Aguachica, Cesar"
"1661798050-42","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Katana Rengoku Demon Slayer Cosplay (poliuretano)","https://articulo.mercadolibre.com.co/MCO-949009242-katana-rengoku-demon-slayer-cosplay-poliuretano-_JM#position=9&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Katana Rengoku Demon Slayer Cosplay (poliuretano)","250.000","null","Antonio Nariño, Bogotá D.C."
"1661798044-39","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Katana Kochou Shinobu Demon Slayer Cosplay (madera)","https://articulo.mercadolibre.com.co/MCO-949498074-katana-kochou-shinobu-demon-slayer-cosplay-madera-_JM#position=12&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Katana Kochou Shinobu Demon Slayer Cosplay (madera)","250.000","null","Antonio Nariño, Bogotá D.C."
"1661798168-97","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Kimetsu No Yaiba Demon Slayer Mini Espada Katana En Blíster","https://articulo.mercadolibre.com.co/MCO-880738316-kimetsu-no-yaiba-demon-slayer-mini-espada-katana-en-blister-_JM?searchVariation=174396999005#searchVariation=174396999005&position=23&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Kimetsu No Yaiba Demon Slayer Mini Espada Katana En Blíster","65.000","Cantidad:1 unidad(3 disponibles)","Puente Aranda, Bogotá D.C."
"1661798227-126","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","","Base Espadas X2 - Mesa - Para Katana, Wakizashi, Bokken","https://articulo.mercadolibre.com.co/MCO-644730779-base-espadas-x2-mesa-para-katana-wakizashi-bokken-_JM#position=43&search_layout=stack&type=item&tracking_id=4dd6e54e-5a70-4669-8c69-be353d1154f0","Base Espadas X2 - Mesa - Para Katana, Wakizashi, Bokken","72.500","Cantidad:1 unidad(3 disponibles)","Bucaramanga, Santander"
"1661798231-128","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","","Katana Espada Daga En Acero Kendo Aikido Coleccion Taekwondo","https://articulo.mercadolibre.com.co/MCO-496369860-katana-espada-daga-en-acero-kendo-aikido-coleccion-taekwondo-_JM#position=41&search_layout=stack&type=item&tracking_id=4dd6e54e-5a70-4669-8c69-be353d1154f0","Katana Espada Daga En Acero Kendo Aikido Coleccion Taekwondo","306.900","Cantidad:1 unidad(2 disponibles)","Fontibón, Bogotá D.C."
